종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
082740,HSD엔진,"6,105,531","5,264,010","841,521","15,642,040,680","13,480,038,300","2,162,002,380",일반 목적용 기계 제조업
011760,현대상사,"2,178,961","1,985,261","193,700","22,015,042,560","19,881,999,570","2,133,042,990",상품 종합 도매업
033240,자화전자,"2,619,512","2,298,820","320,692","16,439,851,190","14,346,652,030","2,093,199,160",전자부품 제조업
029460,케이씨,"1,495,043","1,311,167","183,876","17,834,511,460","15,788,349,910","2,046,161,550","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
094800,맵스리얼티1,"3,134,559","2,564,081","570,478","12,088,251,920","10,057,411,175","2,030,840,745",신탁업 및 집합투자업
004970,신라교역,"721,038","478,275","242,763","6,031,955,470","4,016,039,020","2,015,916,450",어로 어업
286940,롯데정보통신,"775,519","699,473","76,046","19,113,165,850","17,097,909,150","2,015,256,700","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
004440,대림씨엔에스,"1,565,977","1,164,002","401,975","7,169,855,135","5,190,960,320","1,978,894,815","시멘트, 석회, 플라스터 및 그 제품 제조업"
005360,모나미,"71,124,790","70,708,777","416,013","223,569,329,230","221,592,711,370","1,976,617,860",생활용품 도매업
003545,대신증권우,"2,283,964","2,010,234","273,730","16,500,956,080","14,551,853,410","1,949,102,670",-
012690,모나리자,"146,464,095","146,362,012","102,083","807,331,169,250","805,388,559,505","1,942,609,745",기타 종이 및 판지 제품 제조업
091810,티웨이항공,"9,432,139","8,820,277","611,862","28,964,856,225","27,026,843,865","1,938,012,360",항공 여객 운송업
000670,영풍,"22,910","18,997","3,913","10,967,944,500","9,036,006,500","1,931,938,000",1차 비철금속 제조업
005610,SPC삼립,"324,618","294,517","30,101","18,062,106,500","16,158,053,750","1,904,052,750",기타 식품 제조업
267260,현대일렉트릭,"4,191,547","3,953,443","238,104","27,970,356,680","26,102,981,055","1,867,375,625","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
011785,금호석유우,"338,438","256,046","82,392","8,162,321,250","6,300,783,550","1,861,537,700",-
020760,일진디스플,"6,079,375","5,408,032","671,343","17,296,565,515","15,449,959,645","1,846,605,870",반도체 제조업
145990,삼양사,"412,173","355,202","56,971","12,104,257,950","10,301,256,000","1,803,001,950",기타 식품 제조업
000400,롯데손해보험,"9,958,227","8,766,231","1,191,996","13,258,579,427","11,457,912,194","1,800,667,233",보험업
900140,엘브이엠씨홀딩스,"8,402,190","7,995,239","406,951","29,874,561,780","28,106,442,175","1,768,119,605",자동차 판매업
000490,대동공업,"3,328,976","2,945,275","383,701","13,662,601,100","11,919,994,480","1,742,606,620",특수 목적용 기계 제조업
000070,삼양홀딩스,"304,579","263,601","40,978","12,395,781,000","10,666,030,950","1,729,750,050",기타 금융업
